Course Information ID,Academic Year,Course Title,Offering ID,Offering Code,Offering Start Date,Offering End Date,Offering Status Code,Offering Status Description,Offering College Level Code,Offering College Level Description,Mode Of Attendance,Cost,Display Cost,Allow Applications,Allow Enquiries,Allow Enrolment,Course Introduction,Qualification Awarding Body,Delivery,Entry Requirements,Location,Progression Opportunities,Qualifications,Career Prospects,Additional Funding Information,Assessments,Course Content,Application And Interview Process,User Defined1,User Defined2,User Defined3,User Defined4,User Defined5,User Defined6,User Defined7,User Defined8,User Defined9,User Defined10,Area Of Interest1,Area Of Interest2,Area Of Interest3,Area Of Interest4,Area Of Interest5,Course Category1,Course Category2,Course Category3,Course Category4,Course Category5,Keywords,Qualification Of Study ID,Qualification Of Study Description,Qualification Of Study Description For Website,SCQF Level Programme Description,SCQF Level Programme ID,Application URL,Enrolment URL,Area Of Interest Taxonomy,Course Category Taxonomy
41,21/22,Brickwork: Introduction,27283,NQCBRI05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,CON,Construction,Full Time,,NO,NO,YES,NO,"National Progression Award (NPA) in Brickwork. This full time introductory course follows a programme that is designed to acquaint the entrant with the practical skills and technical knowledge required for Brickwork, including methods of brick and block walling and decorative brickwork. Students will also have the opportunity to improve their knowledge in Sustainable construction and Core Skills. Work placement is encouraged and will reinforce knowledge and skills obtained during training in college.",SQA (Scottish Qualifications Authority),"Full-time 36 week course, 3 days per week in College, plus work placement/experience.",Subject to an interview session,Tweedbank Construction Hub,"Students who complete the course to a high standard, and who find employment, may return to College to join the Brickwork: Modern Apprenticeship Year 1 course.",National Progression Award (NPA) in Brickwork at SCQF Level 5,,,,,,,,,,,,,,,,Construction,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,Construction,Full Time
42,21/22,Carpentry and Joinery: Modern Apprenticeship (SVQ3),188764,VQCARJ06FT1-001,23/08/2021 00:00,24/06/2022 00:00,L,Live,CON,Construction,Full Time,,NO,NO,YES,YES,"This course combines College training and on-site work experience. The College Professional Development Award (PDA) includes the following areas: Health and Safety, Access platforms, Workshop practice, Door construction, Ground and upper floors, Timber frames, Professional skills, Sustainable construction, and Core skills. The on-site work experience (SVQ) will require the student to record the types of work undertaken on-site, which will be entered into a portfolio of evidence.",SQA (Scottish Qualifications Authority),"2 years day release - 2 days per week, 36 weeks per year","This course requires employed apprenticeship status. For further information and to apply please contact Department of Enterprise & Business Innovation (DEBI), Business Skills Advisors. T: 01450 361030, email: debi@borderscollege.ac.uk",Galashiels campus,"On completion of this course, the student will be eligible for entry into Carpentry and Joinery: Advanced Craft or HNC/D Construction/Construction Management or other professional training.",PDA/SVQ Level 3 Carpentry and Joinery at SCQF Level 5/6,,,,,,,,,,,,,,,,Construction,,,,,,,,,,,31,Scottish Vocational Qualification or National Vocational Qualification,Vocational Qualification (SVQ/NVQ),06 - Higher/ PDA Level 6/ SVQ 3,6,,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/Full/checkout_directenrolFull.ascx&offeringid=188764,Construction,Full Time
43,21/22,Carpentry and Joinery: Introduction,39762,NQCCAJ05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,CON,Construction,Full Time,,NO,YES,YES,NO,National Progression Award (NPA) in Carpentry and Joinery. This full time introductory course is designed to acquaint the entrant with the practical skills and technical knowledge required for occupations within the Construction Sector. The programme will include Bench and Manufacturing Skills and Constructional Carpentry Skills. Students will also have the opportunity to improve their knowledge in Sustainable construction and Core skills. Work placement is encouraged and will reinforce knowledge and skills obtained during training in college.,SQA (Scottish Qualifications Authority),"Full-time 36 week course, 3 days per week in College, plus work placement/experience.",Subject to an interview,Scottish Borders Campus,"On completion of this course, the student will be eligible for entry into Carpentry and Joinery: Intermediate (Bench Joinery) or into employment to join Carpentry and Joinery: Modern Apprenticeship Year 1.",National Progression Award (NPA) in Carpentry and Joinery at SCQF Level 5,,,,,,,,,,,,,,,,Construction,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=39762,,Construction,Full Time
44,21/22,Painting and Decorating - Modern Apprenticeship SVQ3,40718,VQPAID06FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,CON,Construction,Full Time,,NO,NO,YES,YES,"This course combines College training and on-site work experience. The College content (PDA) includes the following areas: Preparing and Painting Various Types of Surface Using Brushes, Rollers and Spray Equipment, Paper Hanging and Decorative Painting. There will also be input on Associated Subjects, Construction Drawing, Numeracy, Measurement, Appreciation of Access Platforms and Equipment, Science, Materials and Products, Health and Safety, and Spray Painting. . The on-site work experience (SVQ) will require the student to record the types of work undertaken on-site, which will be entered into a portfolio of evidence.Note: Each entrant will be required to pass a Skills Test to complete this award organised by CITB and Borders College.",SQA (Scottish Qualifications Authority),"2 years day release - 2 days per week, 36 weeks per year","This course requires employed apprenticeship status. For further information and to apply please contact Department of Enterprise & Business Innovation (DEBI), Business Skills Advisors. T: 01450 361030, email: debi@borderscollege.ac.uk",Tweedbank Construction Hub,"On completion of this course, the student will be eligible for entry to the Advanced Craft Certificate in Painting and Decorating.",PDA/SVQ Level 3 Painting and Decorating at SCQF Level 5/6,,,,,,,,,,,,,,,,Construction,,,,,,,,,,,31,Scottish Vocational Qualification or National Vocational Qualification,Vocational Qualification (SVQ/NVQ),06 - Higher/ PDA Level 6/ SVQ 3,6,,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/Full/checkout_directenrolFull.ascx&offeringid=40718,Construction,Full Time
45,21/22,Painting and Decorating: Introduction,26690,NQCPAD05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,CON,Construction,Full Time,,NO,YES,YES,NO,"National Progression Award (PDA) in Painting and Decorating. This full time introductory course follows a programme that is designed to acquaint the entrant with the practical skills and technical knowledge of Painting and Decorating including Health and Safety, Employment and Behavioural skills, Access platforms, Preparing Surfaces for Decoration, Applying Paint Systems by Brush and Roller to Non-Complex Areas, Applying Foundation and Plain Papers, Producing Specialist Decorative Finishes, Sustainability and Core Skills.",Scottish Qualification Authority (SQA),"Full-time 36 week course, 3 days per week in College , 1 or 2 days per week on placement",Subject to an interview session,Tweedbank Construction Hub,"Students who complete the course will have the opportunity to apply for the City & Guilds Level 5 course in Painting and Decorating or, if they find employment, the participant could return to College to join Painting and Decorating: Modern Apprenticeship Year 1",National Progression Award (NPA) at SCQF level 5,,,,,,,,,,,,,,,,Construction,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=26690,,Construction,Full Time
46,21/22,Plumbing - an Introduction,27353,NQCPLU05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,CON,Construction,Full Time,,NO,YES,YES,YES,"This full time course follows a programme that is designed to introduce the entrant to the practical skills and technical knowledge of Hot and Cold Water Systems, Domestic Plumbing Systems, Weathering and Discharge Systems. Students will also have the opportunity to improve their knowledge in related Numeracy, Communications, IT, Measurement, Drawing, Sustainable Construction, Health and Safety and Core Skills. Work placement is encouraged to reinforce knowledge and skills obtained during training in college.",Borders College,"Full-time 36 week course, 3 days per week in College, plus work placement/experience.",Subject to an interview session and skills test.,Scottish Borders Campus,"This course is generally considered as a pre apprenticeship, with good opportunities to impress a potential employer through placement, allowing the participant to return to College through employment to join Plumbing: Modern Apprenticeship (SVQ3).",Introduction to Plumbing at SCQF Level 5,,,,,,,,,,,,,,,,Construction,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=27353,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/EnrolFromApp/checkout_directenrolFromApp.ascx&offeringid=27353,Construction,Full Time
48,21/22,Construction - Schools Academy,27304,NPIICO04PT1-001,19/08/2021 00:00,24/06/2022 00:00,L,Live,CON,Construction,Part Time,,NO,NO,YES,NO,"You will be given a taster of a variety of different crafts including: Bricklaying, Carpentry & Joinery, Painting & Decorating. You will also gain an understanding of working safely, efficiently and effectively in a construction environment and will pick up employability skills.",SQA,Part time 29 weeks over 1 academic year 2 days per week in College,Show that you have an interest in this area,Scottish Borders Campus Galashiels,"Related Programmes you may move on to: Construction: An Introduction (Pre- Apprenticeship): Bricklaying, Carpentry & Joinery, Painting & Decorating, Plumbing or Apprenticeships in any of the aforementioned crafts.",NPA Construction Crafts and Technician at SCQF level 4,,,,,,,,,,,,,,,,Construction,,,,,,,,,,,35,SQA National Progression Award,National Progression Award (NPA),04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Construction,Part Time
49,21/22,Plumbing - Level 3,30079,VQPLUM07FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,CON,Construction,Full Time,,NO,NO,YES,NO,"This course combines College training and on-site work experience. The College content includes the following areas: Practical Skill Development, Theory and Associated Subjects, Work Safety, Cold Water, Lead Work, Installation, Hot Water, Health and Safety, Heating Alternative Fuel Path Option (Oil Solid Fuel/Emergent Technologies), ACS Gas Safety Course. . Core Skills are embedded within the programme of delivery.",SQA (Scottish Qualifications Authority),"3 years day release (36 weeks per year), 2 days per week in College for years 1 and 2, 1 day per week in College for year 3","This course is only available through the Sector Skills Council and requires employed apprenticeship status. For further information and to apply please contact the following: SNIPEF (Scottish and Northern Ireland Plumbing Employers' Federation), T: 0131 556 0600, www.snipef.org, SNIPEF entrance test.",Scottish Borders Campus,Renewable energies training.,SVQ Level 3 Plumbing at SCQF Level 6,,,,,,,,,,,,,,,,Construction,,,,,,,,,,,28,Scottish Vocational Qualification or National Vocational Qualification,Vocational Qualification (SVQ/NVQ),07 - Advanced Higher / Scottish Bacc/ HNC/ PDA Level 7/SVQ 3,7,,,Construction,Full Time
50,21/22,Social Services and Healthcare Foundation Apprenticeship - Fast-track,34544,FAHEAL06PT2-001,06/09/2021 00:00,17/06/2022 00:00,L,Live,EF1,Employability Fund,Part Time,,NO,YES,YES,NO,The Foundation Apprenticeship Social Services and Healthcare is a fast track award delivered over one year. Students will study the principles of social care and communication as well as gaining practical experience in a suitable work placement,SQA,Online and on-campus where restrictions allow,"There are no strict entry requirements for the Foundation Apprenticeship, however students should have an interest and enthusiasm in exploring this area of work and be able to work at SCQF 6 (Higher Level). Applicants should be able to demonstrate values and principles relevant to working in care, such as kindness and empathy.",Online/GalashielsCampus/Placement,A Modern Apprenticeship in Social Services and HealthcareFurther education - study an HNC or HND at collegeUniversity - foundation apprenticeships are recognised as equivalent to SQA highers at Scottish UniversitiesStraight in to work - use your qualification and experience to find a job in the childcare industry,A National Progression Award (NPA) in Social Services and Healthcare at SCQF level 6Core units of an SVQ in Social Services and Healthcare at SCQF level 6,,,,,,,,,,,,,,,,Health and Social Care,,,,,,,,,,,40,Foundation Level Apprenticeship,Foundation Level Apprenticeship (FA),06 - Higher/ PDA Level 6/ SVQ 3,6,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/schools/checkout_directapplySchools.ascx&offeringid=34544,,Health and Social Care,Part Time
51,21/22,Foundation Apprenticeship: Social Services: Children and Young People - Fasttrack,11136,FASSCY06PT2-001,19/08/2021 00:00,17/06/2022 00:00,L,Live,EF1,Employability Fund,Part Time,,NO,YES,YES,NO,"The Foundation Apprenticeship: Social Services: Childrenand Young People is a fast track award delivered over 1 academic year. Student will develop skills in communication, learn about legislation, child health and play as well as gain practical work experience in a suitable placement",SQA,Online and on-campus where restrictions allow,"There are no strict entry requirements for the Foundation Apprenticeship, however students should have an interest and enthusiasm in exploring this area of work and be able to work at SCQF 6 (Higher Level). Applicants should be able to demonstrate values and principles relevant to working in care, such as kindness and empathy.",Online/GalashielsCampus/Placement,A Modern Apprenticeship in Social Services (Children and Young People)Further education - study an HNC or HND at collegeUniversity - foundation apprenticeships are recognised as equivalent to SQA highers at Scottish UniversitiesStraight in to work - use your qualification and experience to find a job in the social care industry,A National Progression Award (NPA) in Social Services (Children and Young People) at SCQF level 6Core units of an SVQ in Social Services (Children and Young People) at SCQF level 6,,,,,,,,,,,,,,,,Care and Education,,,,,,,,,,,40,Foundation Level Apprenticeship,Foundation Level Apprenticeship (FA),06 - Higher/ PDA Level 6/ SVQ 3,6,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/schools/checkout_directapplySchools.ascx&offeringid=11136,,Care and Education,Part Time
52,21/22,Childhood Practice - HND - YR1,38541,HDCHIP07FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Full Time,,NO,YES,YES,NO,"The subject areas include Leadership Starts with Me, Care in a Contemporary Society, Health, Wellbeing and Safeguarding, and Support for Play, Learning and Development. Students carry out a substantial part of this course in an actual childcare setting. Work placement is necessary to complete the full award. Please read the Important Notice at www.borderscollege.ac.uk/uni",SQA (Scottish Qualifications Authority),"Full-time 36 week course, 2 days per week in college/online learning and 2 days per week on placement,","Students who successfully complete the NC Early Education and Childcare/NC Childcare and Development or SVQ 2 in Early Years subjects, or a Foundation Apprenticeship in Social Services and Healthcare or Children and Young People.Alternatively applicants who possess 2 Highers at grade C or above, one of which should be English, will also be considered. Potential candidates must have passed Literacy or Communications at SCQF Level 6. Applicants may be required to complete a preparatory course as a condition of being placed on this course. It would be desirable for applicants to have an awareness of the current curricula delivered in education and/or knowledge of child development. Students will also be required to complete a PVG (Protection of Vulnerable Groups) form.",Scottish Borders Campus,Successful completion of the Childhood Practice HNC may enable students to apply for undergraduate programmes in Primary Teaching or a BA in Childhood Studies. The PDA Childhood Practice and HND Childhood Practice (subject to approval) are also offered as possible progression routes. The qualification allows registration with the SSSC (Scottish Social Services Council) as an Early Years Practitioner. Successful completion of the HND Childhood Practice may enable students to apply to study Childhood Practice qualifications at SCQF Level 9,HNC in Childhood Practice at SCQF Level 7,,,,,,,,,,,,,,,,Childcare,,,,,,,,,,,DC,Higher National Diploma or equivalent,Higher National Diploma (HND),07 - Advanced Higher / Scottish Bacc/ HNC/ PDA Level 7/SVQ 3,7,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=38541,,Childcare,Full Time
53,21/22,Childhood Practice - HND YR 2,23236,HDCHIP08FT2-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Full Time,,NO,YES,YES,NO,"The qualification is for learners who have a childcare practitioner qualification and wish to develop their professional practice so they are able to provide better outcomes for children and young people. The course includes units on pedagogical approaches, policy initiatives; leadership, team working and collaborative practice. Learners can potentially progress to study childhood practice qualifications at SCOV level 9. Please read the Important Notice at www.borderscollege.ac.uk/uni",SQA (Scottish Qualifications Authority),"Full-time 36 week course, 3 evenings per week online delivery and 2 days per week on placement, Student working in a childcare setting can use their own place of work.",Students who successfully complete the HNC Childhood Practice or HNC Education and Childcare with a B grade or above in Graded Unit. Students will also be required to complete a PVG (Protection of Vulnerable Groups) form.,Scottish Borders Campus,Successful completion of the HND Childhood Practice may enable students to apply to study Childhood Practice qualifications at SCQF Level 9,HND in Childhood Practice at SCQF Level 8,,,,,,,,,,,,,,,,Childcare,,,,,,,,,,,DC,Higher National Diploma or equivalent,Higher National Diploma (HND),08 - HND/PDA Level 8/SVQ 4,8,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=23236,,Childcare,Full Time
54,21/22,HND in Childhood Practice Part-Time,41156,HDCHIP08PT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Part Time,,NO,NO,YES,NO,"The qualification is for learners who have a childcare practitioner qualification and wish to develop their professional practice so they are able to provide better outcomes for children and young people. The course includes units on pedagogical approaches, policy initiatives; leadership, team working and collaborative practice. Learners can potentially progress to study childhood practice qualifications at SCOV level 9. Please read the Important Notice at www.borderscollege.ac.uk/uni",Scottish Qualification Authority,"Part-time 72 week course, 2 evenings per week online delivery and some time on work placement, Students working in a childcare setting can use their own place of work.",Students who successfully complete the HNC Childhood Practice or HNC Education and Childcare with a B grade or above in Graded Unit. Students will also be required to complete a PVG (Protection of Vulnerable Groups) form.,Scottish Borders Campus,Successful completion of the HND Childhood Practice may enable students to apply to study Childhood Practice qualifications at SCQF Level 9,HND in Childhood Practice at SCQF Level 8,,,,,,,,,,,,,,,,,,,,,,,,,,,DC,Higher National Diploma or equivalent,Higher National Diploma (HND),08 - HND/PDA Level 8/SVQ 4,8,,,,Part Time
55,21/22,Childcare and Development - NC ,27241,NCCHDE06FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Full Time,,NO,YES,YES,NO,"The award includes a National course at Higher level: Childcare and Development. Other units include Children's Play, Child Development and the Early Years Curriculum. Student placements are also organised as an integral and important part of the course. Placement is necessary to complete the full award.",SQA (Scottish Qualifications Authority),"Full-time 36 week course, up to 3 days per week in College/online learning, 1-2 days per week on placement","4 National 5 awards or 4 Standard Grades at Credit level, to include English, or completion of the National 5 and/or National 5/6 Child, Health and Social Care course. Students will also be required to complete a PVG (Protection of Vulnerable Groups) form.",Scottish Borders Campus,"Progression to HNC Childhood Practice, careers as Nursery Assistant, Playgroup Assistant and Classroom Assistant. The course allows registration with the SSSC (Scottish Social Services Council) as an Early Years Support Worker.",NC in Childcare and Development at SCQF Level 6,,,,,,,,,,,,,,,,Childcare,,,,,,,,,,,33,National Certificate Award (accredited group award),National Certificate Award (NC),06 - Higher/ PDA Level 6/ SVQ 3,6,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=27241,,Childcare,Full Time
56,21/22,Childcare and Development National 5 ,26555,NPCHDE05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Full Time,,NO,YES,YES,NO,"Students study the NPA Childcare and Playwork Award which includes development and wellbeing, rights and protection, practice and process of play, working with children and supporting children with additional support needs. Students will also study communication and numeracy and will have the opportunity to gain some practical experience.",Scottish Qualification Authority,"Full-time 36 week course, up to 3 days per week college/online learning, 1 day per week on placement","A minimum of 4 National 4 awards at Pass grade plus 1 pass at National 5, or 4 Standard Grades at General grade 3 or equivalent Intermediate 1 passes, to include English. Students will also be required to complete a PVG (Protection of Vulnerable Groups) form.",Scottish Borders Campus,NC Childcare and Development level 6,National Progression Award,,,,,,,,,,,,,,,,Childcare,,,,,,,,,,,35,SQA National Progression Award,National Progression Award (NPA),05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=26555,,Childcare,Full Time
57,21/22,Early Education and Childcare - Schools Academy Galashiels,40484,SWSWEE04PT1-001,19/08/2021 00:00,31/03/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Part Time,,NO,NO,YES,NO,"This course is designed for pupils who are interested in studying early education and childcare issues. The units cover information regarding child development, play, care of children and working in an Early Education and Childcare setting. Pupils study different aspects of childcare including development and care of children over different age ranges. Information about working in childcare is covered along with potential visits to different childcare providers.",SQA,Part time 29 weeks over 1 academic year 2 afternoons per week in College,An interest in childcare and an ability to study at National 4 level.,Scottish Borders Campus Galashiels,"Related Programmes you may move on to: Child, Health and Social Care National 4, National 5 or National 5/ Higher courses at Borders College",Skills for Work: Early Education and Childcare National 4,,,,,,,,,,,,,,,,Childcare,,,,,,,,,,,36,SQA Skills for Work Award,Skills for Work Award,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Childcare,Part Time
58,21/22,Social Services Children and Young People - Foundation Apprenticeship - YR1,34550,FASSCY06PT1-002,19/08/2021 00:00,31/03/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Part Time,,NO,NO,YES,NO,"In Year 1 you will undertake 5 SQA Units at SCQF Level 6 (24 SCQF Credits), Workplace Experience is also included. In Year 2 you undertake SVQ 2 Social Services and Children and Young People.",Scottish Qualifications Authority (SQA),Part time 72 weeks over 2 academic years 2 days per week in College,A minimum of four National 5 passes A-C grades plus an interest in the area of Childcare. We are actively recruiting males on to the Childcare course and would be delighted to receive your application.,Scottish Borders Campus,Related Programmes you may move on to: Modern Apprenticeship or Study at SCQF Level 7 eg HNC,Year 1: NPA Children and Young People. Year 2: SVQ 2 Social Services Children and Young People,,,,,,,,,,,,,,,,Care and Education,,,,,,,,,,,40,Foundation Level Apprenticeship,Foundation Level Apprenticeship (FA),06 - Higher/ PDA Level 6/ SVQ 3,6,,,Care and Education,Part Time
60,21/22,Project SEARCH,27678,NUSEAR02FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Full Time,,NO,NO,YES,NO,"Project SEARCH is a one year internship programme, based on an international model which originated in the Cincinnati Children's Hospital in the USA, supporting young people with additional needs to gain skills and experience to go on to employment. This programme offers students with additional needs the opportunity to develop employability skills through internships working with a host employer. Students will work 5 days a week and experience 3 different rotations throughout the course. The working day will include 2 hours in the classroom learning employability skills, team-building skills and citizenship and the rest of the day working on your rotation. You will be given specific on-the-job training for the jobs on your rotation. A College tutor and a supported employment job coach will be in the host organisation to support you throughout the 36 weeks. You will work towards a qualification, Project SEARCH course work and SQA units. Project SEARCH is provided by Borders College working in partnership with Scottish Borders Council and the European Social Fund (ESF). All candidates must meet the ESF eligibility criteria prior to starting the course. Further details can be provided by calling the College or by contacting the Employment Support Service. Joan Cairney (Curriculum & Learning manager): 08700 50 51 52. Employment Support Service: 01835 824000.","SQA (Scottish Qualifications Authority) , Project SEARCH","Project SEARCH is a one year internship programme, based on an international model which originated in the Cincinnati Children's Hospital in the USA, supporting young people with additional needs to gain skills and experience to go on to employment. . Full-time 36 weeks. Students are based within a host employer organisation and will be supported by a College tutor and a Supported Employment job coach throughout the 36 weeks,","There are no formal academic entry requirements. This course is for young people, aged 17-29, who have additional needs. You must be able to travel independently. You should show an interest in being in a working environment for 5 days a week and want to gain employment in the future. You will be expected to attend an interview and to take part in a group exercise prior to being offered a place.",To be confirmed,This creates real options for employment. A high percentage of students who complete this course achieve permanent paid employment.,Project SEARCH course work and SQA units.,,,,,,,,,,,,,,,,Supported Programmes,,,,,,,,,,,39,Non-advanced units only but not leading to an award certificate (including infill),,02 - Access 2/National 2,2,,,Supported Programmes,Full Time
61,21/22,Skills for Learning and Work - Schools Link - 1 day per week,28082,PBLEAW02PT1-002,06/09/2021 00:00,30/06/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Part Time,,NO,NO,YES,NO,"In preparation for the Skills for Learning and Work course, pupils are gradually introduced to the routines of College life. On their day in College they will have tasters of a range of practical classes, including Childcare, Catering, Health & Wellbeing, Employability and Core Skills. They will have an introduction to the world of work and take part in activities which promote self confidence and independence.",,"Part-time for 36 weeks, 1 day per week (Wednesday),",Referrals would normally be made following school transition and/or review meetings.,Scottish Borders Campus,Skills for Learning and Work Year 1 Course.,Non-assessed course at SCQF Level 2/3,,,,,,,,,,,,,,,,Supported Programmes,,,,,,,,,,,PB,Programme not leading to recognised qualification (fully non-assessed courses including most non-vocational programmes),,02 - Access 2/National 2,2,,,Supported Programmes,Part Time
62,21/22,Spring Transitions Programme - Skills for Learning and Work - 5 day - School Link ,28081,PBLEAW02PT1-001,18/04/2022 00:00,03/06/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Part Time,,NO,NO,YES,NO,"The Spring Transitions Programme is for pupils in their final year at school who may be considering applying for a place on the full-time Skills for Learning and Work Course. The course provides pupils with some first-hand experience of subjects such as Catering, ICT, First Aid and Childcare. Pupils attend a programme of up to 4 days, depending on the number of applicants. Attendance on Spring Transitions forms part of the informal interview process.",N/A,Part-time course commencing in Spring 2019,"The Spring Transitions Programme is for young people, aged 1619, who have received additional support for learning at school. Referrals would normally be made following school transition and/or review meetings.",Scottish Borders Campus,Full-time Skills for Learning and Work Year 1 Course or other College programmes in a range of vocational areas.,Non-assessed course at SCQF Level 2/3,,,,,,,,,,,,,,,,Supported Programmes,,,,,,,,,,,PB,Programme not leading to recognised qualification (fully non-assessed courses including most non-vocational programmes),,02 - Access 2/National 2,2,,,Supported Programmes,Part Time
63,21/22,Skills for Learning and Work - Year 1,27458,NQSFLW03FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Full Time,,NO,NO,YES,NO,"A work preparation course with a strong emphasis on practical skills, which includes Catering, Childcare, Heathy Living and Enterprise. In addition, the core skills of Communication, Numeracy, Using Information Technology, Working with Others and Problem Solving are developed as an integral part of the course. The course includes work placements with local employers. Students work towards SQA units and group awards.",SQA (Scottish Qualifications Authority),"Full-time 36 weeks, up to 4 days per week in College and 1 day per week on placement ,","This course is for young people, aged 1619, who have received additional support for learning at school. Referral would normally be made following school transition review meetings. Referrals are also made through SDS (Skills Development Scotland)/Careers and direct applicants.",Scottish Borders Campus,"Skills for Learning and Work Year 2, supported employment, employment training or other College programmes in a range of vocational areas.",National Certificate at SCQF Level 2/3,,,,,,,,,,,,,,,,Supported Programmes,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,03 - Access 3/National 3 /Foundation standard,3,,,Supported Programmes,Full Time
64,21/22,Skills for Learning and Work - Year 2,26710,NQSFLW04FT2-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,ESP,Early Education and Supported Programmes,Full Time,,NO,NO,YES,NO,"This is a work preparation course with a strong emphasis on employability skills, which includes Volunteering Award, Core Skills, Hospitality, John Muir Award, and Health and Wellbeing. The course includes 2 days work experience per week with local employers. Students work towards SQA units and group awards.",SQA (Scottish Qualifications Authority),"Full-time 36 weeks , 3 days per week in College , 1-2 days per week on placement","This course is for young people, aged 1619, who have received additional support for learning at school and who have successfully completed Year 1 Skills for Learning and Work.",Scottish Borders Campus,"Supported employment, employment training or other College programmes in a range of vocational areas, including Project SEARCH.",National Certificate at SCQF Level 3/4,,,,,,,,,,,,,,,,Supported Programmes,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Supported Programmes,Full Time
